Species,Synonyms,Common name,Horizon scan team,Functional group,Native range,Environment,Likely pathway of arrival,Pathway justification,Arrival score,Arrival certainty,Arrival justification,ReferencArrival referenceses,Establishment score,Establishment certainty,Establishment justification,Establishment references,Impacts score,Impacts certainty,Impacts justification,Impacts references,Overall score,Overall certainty,Overall comments,Overall references,Assessor ,Date assessed,Reviewer,Date reviewed
Filipendula ulmaria,"Filipendula denudata, Spiraea ulmaria, Thecanisia ulmaria",queen of the meadow,Plant,Primary producer,Eurasia an Québec,T,"Escape from confinement, Transport containiment",Dave's Garden,3,Medium,Grown and sold ornamentally,Dave's Garden,2,Medium,Mostly found in northern states,SERNEC,1,Very Low,Undocumented impacts,,6,Low,"Not much literature on this plant, but was sold ornamentally.","SERNEC

Dave's Garden",Pfingsten,4/21/20,Gordon,
Veronica chamaedrys,,germander speedwell; bird's-eye speedwell,Plant,Primary producer,"Europe, temperate Asia, Africa",T,transport contaminent,,1,Medium,"This is a weedy species, but its seeds might be included in some nursery stock. The EDDmaps occurences are concentrated in northern states. Flora of North America shows West Virginia as the closest state in the SE. Oklahoma and New Mexico are in the distribution, but they are dry.",npgsweb.ars-grin.gov; efloras.org; https://gobotany.nativeplanttrust.org/species/veronica/chamaedrys/,1,Medium,"USDA PLANTS shows the distribution as far south as North Carolina, but much of Canada and many northern states have given this pretty weed a home. It is like not a good candidate for Florida summers, but prefers Alaska.",itis.gov; plants.usda.gov; CABI,1,Medium,"Although it is considered difficult to control so could out compete other species, it is unlikely to survive and thrive in Florida's climate.",itis.gov; plants.usda.gov; http://www.msuturfweeds.net/details/_/germander_speedwell_13/,1,Low,"Again, this a species that is not suited to growing conditions in the southeastern US and is unlikely to thrive in Florida.",,Anderson,4/15/20,Iannone,
Sambucus nigra,,elder;elderberry,Plant,Primary producer,Europe;North America,T,escape from containment,Used in food for fruits and flowers. Grown as an ornamental.  ,3,Low ,Grown as a food plant for the berries and flowers. Traded on Dave's garden. ,https://davesgarden.com/guides/pf/go/114649/,5,Medium,"Establishes in disturbed areas, and areas that have been abandoned. Distributed across temperate and tropical areas in every continent. There are records in neighbouring states to Florida. ",https://www.gbif.org/species/2888728,1,Low ,No major impacts reported. Although plants grow dense along the waterways which could have impacts from outcompeteting with native species (speculation). ,CABI Crop Compendium online data sheet. Sambucus nigra. CABI Publishing 2020. www.cabi.org/CPC. Accessed April 2020,15,Low,Similar problem to Calystegia sepium. S. nigra ssp. canadensis is native https://florida.plantatlas.usf.edu/Plant.aspx?id=2186,,Canavan,,Iannone,
Tanacetum vulgare,"Chrysanthemum vulgare, Tanacetum boreale, Tanacetum vulgare var. crispum","Tansy, common tansy, garden tansy, golden buttons, hierba lombriguera, bitter button, gold leaf tansy 'Isla Gold'",Plant,Primary producer,"Temperate Europe, Asia",T,Escape from confinement,Ornamental; medicinal; herb (Daves Garden article),3,Medium,"Could be intentionally introduced as ornamental or medicinal; ""do not plant"" (MOBOT); smells bad; lots of more attractive plants out there for ornamental use",Daves Garden; https://www.fs.fed.us/database/feis/plants/forb/tanvul/all.html,2,High,Not well-suited to most of Florida; not present in SE US; USDA Zones 4-9; subalpine Siberia; prolific seed production but seed germination best when stratified,USDA; Daves Garden; https://www.fs.fed.us/database/feis/plants/forb/tanvul/all.html,3,Medium,"Noxious weed in Colorado, Montana, Washington, Wyoming; weedy, ""it never dies""; poisonous if ingested in large quantities; top-killed by fire but may resprout from rhizomes; prefers bare sites so may colonize quickly post-burn",USDA; Daves Garden; https://pfaf.org/user/Plant.aspx?LatinName=Tanacetum+vulgare,18,Low,"Could be introduced as an ornamental but other more attractive yellow-flowered plants to choose from; prefers more temperate climate, not likely to be very happy in FL; is not present in SE US but broadly distributed throughout the rest of the US",,Gettys,4/21/20,Iannone,
Pilosella officinarum,Hieracium pilosella,mouse-ear hawkweed,Plant,Primary producer,Europe and western Asia,T,transport-stowaway,"It has been introduced as a contaminant of soil, seed, and machinery before and it is currently on the U.S. east coast. No evidence for intentional use in FL.",3,Medium,"Has been introduced as a garden ornamental and contaminant of seed. Transport of garden refuse or contaminated soil. Was likely originally introduced to N. America as packing material. Can buy seeds from India, but doesn't seem to be a very common gardening plant in the U.S. Sparse distribution in the southeast. Currently expanding in the U.S.",https://www.cabi.org/isc/datasheet/27162; https://www.bonanza.com/listings/20-Hieracium-pilosella-Seeds-mouse-ear-hawkweed/502924204?goog_pla=1&gpid=293946777986&keyword=&goog_pla=1&pos=&ad_type=pla&gclid=EAIaIQobChMIze7BtLX36AIVio7ICh0iRQAAEAkYAiABEgKmY_D_BwE; https://www.gbif.org/species/3136365; https://www.invasive.org/browse/subinfo.cfm?sub=4422; https://www.minnesotawildflowers.info/flower/mouse-ear-hawkweed,4,Medium,"Grows in open, sandy and semi-dry grasslands, disturbed sites. Mean max temp of hottest month is 19C/66F. Biocontrol herbivores released in NZ are present in N. America. Plant hardiness zones: 6a to 10b. ""Not bothered by heat or humidity"". Perennial.",https://www.cabi.org/isc/datasheet/27162; https://davesgarden.com/guides/pf/go/1926/; https://plants.ces.ncsu.edu/plants/pilosella-officinarum/; https://plants.sc.egov.usda.gov/core/profile?symbol=HIPI,3,Medium,"Stolon production and wind-dispersed seeds make it a vigorous invader. Displaces vegatation between bunchgrasses, which can affect animal forage and grassland diversity. Can reach 80% cover. Considered invasive at some point across N. America, including GA, TN, and NC. Estimated cost to NZ livestock production is NZ$1.1-NZ$4.4 million. Farmers have had to abandon their farms. Didn't become an issue in NZ until 80 years after introduction (""sleeper weed""). Redyces native plant biomass in controlled experiments. Currently considered invasive in WA and OR. May affect nutrient cycling through faster decomposition rate than native species.","https://www.cabi.org/isc/datasheet/27162; http://www.iucngisd.org/gisd/speciesname/Hieracium+pilosella; Moen, Jon, and Colin D. Meurk. ""Competitive abilities of three indigenous New Zealand plant species in relation to the introduced plant Hieracium pilosella."" Basic and Applied Ecology 2.3 (2001): 243-250.; https://www.invasive.org/browse/subinfo.cfm?sub=4422; Braun, Karen, et al. ""Increased litter decomposition rates of exotic invasive species Hieracium pilosella (Asteraceae) in Southern Patagonia, Argentina."" Plant ecology 220.3 (2019): 393-403.",36,Medium,"Not a ton of information on establishment and impact in areas like Florida, but it had a huge impact in New Zealand and it seems like it could tolerate conditions in Florida.",,Kendig,4/20/20,Iannone,
Pinus pinaster,,maritime pine,Plant,Primary producer,Mediterranean region,T,Release in nature; escape from confinement; unaided,Cabi,3,Low,Seeds for sale via internet. ,Bing internet search.,5,High,Climate and soil preferences are ideal in FL conditions,Cabi,3,High,Cabi stated S. African fynbos most vulnerable; coastal dunes in FL also vulnerable.,,45,Medium,"The weediness and adaptability of this taxon lead to it being of higher concern. Many of its attributes, i.e. naval stores, lumber, etc., are currently met by our numerous native pines. Fast growth in dune environments, including those beyond Casuarina cold tolerance, is the greatest concern for FL.",,Kunzer,,Iannone,
Symphytum officinale,,"boneset, comfrey",Plant,Primary producer,"Asia Temperate, Europe (northern, middle, eastern, southeastern, and southwestern)",T,Escape from Confinement ,Ornamental (MOBOT) ,5,High,"4 records in Florida, earliest 2003 (SERNAC) ",http://sernecportal.org/portal/collections/listtabledisplay.php,4,High,Suitable from zone 4a to 9b (Climate match North and Central FL,Dave's Gardenhttps://davesgarden.com/guides/pf/go/317/#b,1,Very Low,Very little evidence found regarding invasiveness or impacts,,20,Low,Appears to be recently introduced to Florida. Suitable to north and central Florida. No evidence that it will cause significant negative impacts,,Lieurance,,Iannone,
Mentha aquatica,,Water mint,Plant,Primary producer,"Africa, Europe to Central Siberia and West Africa",T,1. Escape from Confinement  2. Unaided,"1. Planted as an ornamental  2. Dispersal by water and birds                                      1. Dave's Garden; https://davesgarden.com/guides/pf/go/2449/  1. Gardeners' World; https://www.gardenersworld.com/plants/mentha-aquatica/  2. Emorsgate Seed; https://wildseed.co.uk/species/view/89  2. Online Atlas of the British and Irish Flora; https://www.brc.ac.uk/plantatlas/plant/mentha-aquatica  2. Soons et al., 2008; https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2745.2008.01372.",3,Low,"1. Mentha aquatica has a widespread distribution in the U.S., but in the South it is limited to Georgia.  2. Water mint is planted as an ornamental in wetland gardens and ponds, and the leaves are sometimes used in teas.  3. New colonies of this species form naturally by dispersal of detached fragments of rhizome or seeds by water.  4. Seeds also remain viable after being ingested and transported by mallards.","1. USDA PLANTS Database; https://plants.sc.egov.usda.gov/core/profile?symbol=MEAQ  2. Dave's Garden; https://davesgarden.com/guides/pf/go/2449/  2. Gardeners' World; https://www.gardenersworld.com/plants/mentha-aquatica/  3. Emorsgate Seed; https://wildseed.co.uk/species/view/89  3. Online Atlas of the British and Irish Flora; https://www.brc.ac.uk/plantatlas/plant/mentha-aquatica  4. Soons et al., 2008; https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2745.2008.01372.x",3,Low,"1. Mentha aquatica is tolerant to USDA zones 5-11.  2. However, in the U.S. it is primarily found along the west coast, Great Lakes states, and northern and central east coast, only reaching as high as Zone 7.  3. Water mint primarily occurs in wetlands, such as swamps, marshes, and alongside ponds, but it can sometimes occur in drier areas like edges of roads and fields.  4. This species can reproduce by seed and also 'spreads aggressively by underground runners'.  5. Mentha aquatica is invasive in Chile and New Zealand and is a general weed in a number of countries including the U.S., Canada, and Australia.",1. Dave's Garden; https://davesgarden.com/guides/pf/go/2449/  2-3. USDA PLANTS Database; https://plants.sc.egov.usda.gov/core/profile?symbol=MEAQ  3. NatureGate; http://www.luontoportti.com/suomi/en/kukkakasvit/water-mint  3-4. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Mentha+aquatica  4-5. PIER; http://www.hear.org/pier/species/mentha_aquatica.htm  5. Global Compendium of Weeds; http://www.hear.org/gcw/species/mentha_aquatica/,3,Medium,"1. Mentha aquatica is considered an environmental weed in the U.S. and Australia indicating it causes serious impacts in natural areas, but there is a general lack of information about the specifics of said impacts.  2. In the Great Lakes, there is 'inadequate' support for a proper assessment of invasion risk; but, while there is 'little or no current support' that this species has 'significant socio-economic impacts', the Great Lakes Indian Fish and Wildlife Commission considers this species 'capable of causing severe ecological impacts' and recommends control efforts.  3. In West Virginia, water mint is listed as a Rank 3 invasive species, indicating it is occasionally invasive but does not generally affect ecosystem processes, aside from altering plant community composition by outcompeting one or more native plant species, usually in severely disturbed areas.  4. However, other sources note that this species is 'sensitive to trampling and grazing' resulting in its disappearance from sites subject to too much disturbance.  5. Multiple gardening sites indicate that this plant will spread vegetatively if not contained.  6. There is a hybrid peppermint Mentha aquatica x Mentha spicata that has weedy traits.  7. In general, Mentha species are prone to hybridization.  8. Chemical control of Mentha aquatica is most effective, but hand pulling is possible for small populations. ","1. Global Compendium of Weeds; http://www.hear.org/gcw/species/mentha_aquatica/  2,7-8. NOAA Great Lakes Environmental Research Laboratory; https://nas.er.usgs.gov/queries/GreatLakes/FactSheet.aspx?SpeciesID=2668  3. WVDNR Natural Heritage Program; http://www.wvdnr.gov/wildlife/Handout%20Invasive%20Plants%20of%20WV%202009.pdf  4. Emorsgate Seed; https://wildseed.co.uk/species/view/89  5. Dave's Garden; https://davesgarden.com/guides/pf/go/2449/  5,7. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Mentha+aquatica  6. Nawrocki 2010, Alaska National Heritage Program; https://accs.uaa.alaska.edu/wp-content/uploads/Mentha_x_piperita_BIO_MEPI.pdf",27,Low,"Mentha aquatica is a weedy, wetland species with a wide distribution in the U.S.. While it's current distribution in the South is limited, water mint is cultivated as an ornamental and can disperse by water, allowing it multiple pathways into Florida. This species can establish in wetlands and sometimes in drier edges of disturbed areas. Mentha aquatica can reproduce by seeds and by aggressive vegetative growth. There is limited evidence of the impacts of water mint introductions, but this species does readily hybridize and under some circumstances has the ability to outcompete native plant species.",1. USDA PLANTS Database; https://plants.sc.egov.usda.gov/core/profile?symbol=MEAQ  2. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Mentha+aquatica  3. NOAA Great Lakes Environmental Research Laboratory; https://nas.er.usgs.gov/queries/GreatLakes/FactSheet.aspx?SpeciesID=2668     ,Petri (for Flory),4/30/20,Iannone,
Solidago canadensis,,Canadian goldenrod,Plant,Primary producer,"North America (but absent from S. Carolina, Georgia, Florida, Louisana, and Hawaii, and native status in Mexico is debated)",T,1. Escape from confinement  2. Transport-Contaminant  3. Unaided,1-3. CABI Invasive Species Compendium; https://www.cabi.org/isc/datasheet/50599,4,Medium,"1. Solidago canadensis is a popular ornamental garden plant that commonly escapes cultivation.  2. Canadian goldenrod is also popular in floral arrangements.  3. The seeds of this species are adapted for long distance dispersal over wind, as long as the weather is dry enough to prevent seeds from sticking to the stem.  4. Rhizomes of this species are also thought to spread through garden waste.",1. NatureGate; http://www.luontoportti.com/suomi/en/kukkakasvit/canada-goldenrod  1. Betrock's Plant Search; https://www.plantsearch.com/new/search_plants.cfm?advq=Solidago%20canadensis&advV=0  1. PlantScout by Dave's Garden; https://davesgarden.com/products/ps/search.php?search_text=Solidago+canadensis  2. Dave's Garden; https://davesgarden.com/guides/pf/go/1154/  2. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Solidago+canadensis  3. eFloras; http://efloras.org/florataxon.aspx?flora_id=1&taxon_id=200024550  3-4. CABI Invasive Species Compendium; https://www.cabi.org/isc/datasheet/50599,5,Medium,"1. Solidago canadensis is native to most of the United States, and is tolerant to USDA Zones 3-9 and Koppen climate Cf (humid subtropical), indicating potential suitability in Florida. 2. Germination of this species occurs more readily after cold stratification, but it is not required.  3. Canadian goldenrod rapidly colonizes and creates dense monocultures on forest edges, roadsides, abandoned fields, and other unmanaged areas.  4. Solidago canadensis can reproduce through belowground rhizomes or seeds produced on aboveground shoots.  5. Additionally, individuals clones can live for up to 100 years and individual shoots can produce between 1,000-13,000 seeds.  6. Allelopathy is commonly mentioned as mechanism increasing the invasion risk of this species, but only studies using extracts of the plant were found.  7. This species is invasive in Europe and Japan, naturalized in Australia, and introduced to at least 24 countries outside of its native range.",1-6. CABI Invasive Species Compendium; https://www.cabi.org/isc/datasheet/50599  1. Dave's Garden; https://davesgarden.com/guides/pf/go/1154/  3. NatureGate; http://www.luontoportti.com/suomi/en/kukkakasvit/canada-goldenrod  3. Missouri Botanical Garden; http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277473&isprofile=1&basic=Solidago%20canadensis  4. eFloras; http://efloras.org/florataxon.aspx?flora_id=1&taxon_id=200024550  6. Native Plant Trust; https://gobotany.nativeplanttrust.org/species/solidago/canadensis/  7. GBIF; https://www.gbif.org/species/5389029  7. Global Compendium of Weeds; http://www.hear.org/gcw/species/solidago_canadensis/,5,Medium,"1. The invasion of Solidago canadensis has led to 'gross changes in native vegetation and fauna'.  2. In Poland, all plant and insect communities were negatively impacted by the presence of Canadian goldenrod compared to uninvaded areas.  3. In Slovenia, plant and butterflies diversity, was lower in plots with Canadian goldenrod, but diversity of hoverflies and most beetles increased.  4. There are around 100 species in the genus Solidago in North America and hybrids between congeners are known to occur in the wild.  5. This species invades poorly managed pasture and can be a considerable weed in forest nurseries and in perennial gardens and crops.  6. Horses have been poisoned by consuming large quantities of contaminated hay.  7. Canadian golden responds positively to fire, chemical treatment may only kill the aboveground growth, and rhizomes can remain viable for up to 100 years.  8. However, consistent mowing over years can sufficiently control infestations and attempts are underway to establish a biocontrol.","1,5-8. CABI Invasive Species Compendium; https://www.cabi.org/isc/datasheet/50599  2. Moron et al., 2009; https://www.sciencedirect.com/science/article/abs/pii/S0006320709000640  3. de Groot et al., 2007; https://www.sciencedirect.com/science/article/abs/pii/S0006320707000377  4. NatureGate; http://www.luontoportti.com/suomi/en/kukkakasvit/canada-goldenrod  4. eFloras; http://efloras.org/florataxon.aspx?flora_id=1&taxon_id=200024550  7. US Forest Service; https://www.fs.fed.us/database/feis/plants/forb/solcan/all.html",100,Medium,"Solidago canadensis is native most of North America, but original range does not extend into Florida.  Seeds of this species may have a difficult time dispersing under the high humidity of Florida and have reduced germination rates without cold stratification. However, Canadian goldenrod is a popular ornamental species, readily establishes through vegetative growth, and impacts multiple tropic levels in communities it invades. This species also responds positively to fire and quickly resprouts after aboveground control efforts, making it a successful invader in other parts of the world. ",1. CABI Invasive Species Compendium; https://www.cabi.org/isc/datasheet/50599  2. NatureGate; http://www.luontoportti.com/suomi/en/kukkakasvit/canada-goldenrod  3. Global Compendium of Weeds; http://www.hear.org/gcw/species/solidago_canadensis/,Petri (for Gordon),,Iannone,
Spergularia rubra,,Red sandspurry,Plant,Primary producer,"Europe to far eastern Russia, Macaronesia to North and Northeastern tropical Africa, and the Arabian Peninsula",T,1. Transport- Stowaway  2. Transport- Contaminant ,1. eFloras; http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=220012740  1. NatureGate; http://www.luontoportti.com/suomi/en/kukkakasvit/red-sand-spurrey  2. Global Compendium of Weeds; http://www.hear.org/gcw/species/spergularia_rubra/,3,Medium,"1. Seeds of red sandspurry are small measuring only 0.4-0.6mm, but they do not have wings  2. Spergularia rubra plants are difficult to find or identify when not in flower.  3. This species has been distributed as contaminant on vehicles over long distances.  4. Red sandspurry has a widespread distribution in the northern and western United States, but it has a limited distribution in the Southeast.","1. eFloras; http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=220012740  2-3. NatureGate; http://www.luontoportti.com/suomi/en/kukkakasvit/red-sand-spurrey  3. Nawrocki, 2011; https://accs.uaa.alaska.edu/wp-content/uploads/Spergularia_rubra_BIO_SPRU.pdf  4. USDA PLANTS Database; https://plants.usda.gov/core/profile?symbol=SPRU",3,Low," 1. Spergularia rubra grows primarily in distrubed or anthropogenic habitats, but occasionally it occurs in maritime areas. 2. Red sandspurry has a widespread distribution in the northern and western United States, but it is unclear from this distibution and its native range, if the species can survive as far south as Florida.  2. Red sandspurry is self-fertile and can also be pollinated by flies.  3. This species is capable of forming a 'persistent seed bank'.  4. This species can 'stand a lot of trampling and can form stands up to several square meters large' in distubred habitats.  5. Red sandspurry has leaves tipped with hard points or spines.  6. Spergularia rubra is naturalized in California (USA) and New South Wales (Australia) as well as a weed in other parts of southern Australia, New Zealand, Alaska (USA), and Washington (USA). ","1,7. Nawrocki, 2011; https://accs.uaa.alaska.edu/wp-content/uploads/Spergularia_rubra_BIO_SPRU.pdf  1,6. eFloras; http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=220012740 1. Native Plant Trust; https://gobotany.nativeplanttrust.org/species/spergularia/rubra/ 2. Kew Science; http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:158983-1  2. USDA PLANTS Databse; https://plants.usda.gov/core/profile?symbol=SPRU  3. PFAF Plant Database; https://pfaf.org/user/Plant.aspx?LatinName=Spergularia+rubra  4. Calvo et al., 1999; https://www.afs-journal.org/articles/forest/abs/1999/03/AFS_0003-4312_1999_56_3_ART0007/AFS_0003-4312_1999_56_3_ART0007.html  5. NatureGate; http://www.luontoportti.com/suomi/en/kukkakasvit/red-sand-spurrey  7. The Jepson Herbarium, UC Berkeley; https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=45090  7. National Herbarium of NSW; http://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Spergularia~rubra   7. TERRAIN Database; http://www.terrain.net.nz/friends-of-te-henui-group/weeds-by-scientific-names/spergularia-rubra-red-sand-spurrey.html  7. Burke Herbarium Image Collection, U of Washington; http://biology.burke.washington.edu/herbarium/imagecollection/taxon.php?Taxon=Spergularia%20rubra  7. Global Compendium of Weeds; http://www.hear.org/gcw/species/spergularia_rubra/  ",2,Medium,"1. Infestations of Spergularia rubra in Alaska have been 'observed at up to 59% ground cover, suggesting that this species has the potential to reduce population of native species' in disturbed sites.  2. This species is a weed of in agricultural systems.  3. According to GBIF (2019), Red Sandspurry has been introduced to at least 9 countries outside of its native range, 5 of which have hundreds of recorded obersvations; but the USA is the only country known to have an impact from these introductions.  4. Spergularia rubra can cross-breed with congener S. salina, which is present in Florida.  5. Spot herbicide treatments have been effective in Alaska for controlling this species.  ","1,5. Nawrocki, 2011; https://accs.uaa.alaska.edu/wp-content/uploads/Spergularia_rubra_BIO_SPRU.pdf  2. Global Compendium of Weeds; http://www.hear.org/gcw/species/spergularia_rubra/  2. Pinke et al., 2010; https://www.degruyter.com/view/journals/biol/5/2/article-p283.xml  3. GBIF; https://www.gbif.org/species/3085633  4. NatureGate; http://www.luontoportti.com/suomi/en/kukkakasvit/red-sand-spurrey  ",18,Medium,"Spergularia rubra is a widespread weed that has naturalized in the northern and western United States and other countries around the world. However, no information was found on climatic tolerance, and it remains uncertain if the species is capable of surviving in a warm climate like Florida. Additionally, it is rare to find this species outisde of cultivated areas, disturbed natural areas, or urban settings. Thus, while the species is potentially capable of displacing native species, this is only likely to occur in areas that are already impacted by some other disturbance.","1. Global Compendium of Weeds; http://www.hear.org/gcw/species/spergularia_rubra/  2. Nawrocki, 2011; https://accs.uaa.alaska.edu/wp-content/uploads/Spergularia_rubra_BIO_SPRU.pdf  3. NatureGate; http://www.luontoportti.com/suomi/en/kukkakasvit/red-sand-spurrey",Petri (for Gordon),4/3/20,Iannone,
Vicia sepium,Vicia sepium var. montana,bush vetch,Plant,Primary producer,Eurasia,T,"Escape from confinement, Transport containiment, Transport stowaway","Found in disturbed fields (SERNEC), frequented parks (SERNEC), and used as forage (International Legume Database and Information Service)",3,Medium,Spread is likely via hitch hiking on boots or vehicle tires. Also could be included in forage mixes.,"SERNEC, International Legume Database and Information Service",1,Medium,"Elevation preference about 1,100 m","Lenoir, J., J.C. Gegout, P.A. Marquet, P. de Ruffray and H.A. Brisse. 2008. Significant upward shift in plant species optimum elevation during the 20th Century. Science 320(5884): 1768-1771.",2,Medium,Potentially impacts agriculture as weedy based on Vicia sativa studies.,"Norcini, J. G., Aldrich, J. H., & Martin, F. G. (1997). Preemergent Control of Common Vetch (Vicia sativa L.) and Black Medic (Medicago lupulina L.). Journal of Environmental Horticulture, 15(3), 149-152.

Webster, T. M., & Nichols, R. L. (2012). Changes in the prevalence of weed species in the major agronomic crops of the Southern United States: 1994/1995 to 2008/2009. Weed Science, 60(2), 145-157.",6,High,There are plenty of Vicia spp. introduced to FL. Vicia sepium has a long history in the North America (earliest voucher 1900). Yet it is not established in the southern US.,SERNEC and BONAP,Pfingsten,4/7/20,Iannone,
Avena barbata,,slender wild oat,Plant,Primary producer,"Central Asia to Pakistan, North Africa  and the Mediterranean Basin",T,"seed contaminent, introduced as fodder crop; could arrive as a contaminant in oat seeds, but oats are not a major crop in Florida",,2,Medium,"growing zones 8a to 10b, but Florida is not likely to import quantities of oat seeds",CABI website,1,Medium,"This is a grass of arid wastelands and disturbed, dry areas. In North America, it is found in several states of the far west, including California where it is considered an invasive pest plant. It has been introduced to many countries where it has not established, but it is a problem in California and Australia. This species prefers a Mediterraneaan climate, not typical of Florida.",USDA plants website; CABI website; Atlas of Living Australia,4,Medium,Self-pollinating; prolifc seed production; can out-compete native grasses; can alter fire regime,CABI,8,Low,Florida is wetter than the preferred climate for this species and the most likely pathway (seed contamination in oat seeds) is not a major risk for most of Florida.,,Anderson,4/14/20,Kendig,
Ulex europaeus,,common gorse,Plant,Primary producer,British Isles; Western Europe,T,escape from containment,"Spread intentonally in the 1800 and 1900s as a hedge plant, garden ornametal, for forage ",3,Low ,"Unlikely to be introduced for the same reasons as the past. Potential introductions are most likely for garden plants. Users on Dave's Garden indicate it is in demand, or there are growers willing to trade. The large seeds mean it less likely to be introduced as a contaminent, but this is possible, and has occured (Tulang 1992). ","https://davesgarden.com/guides/pf/go/32061/; Tulang M, 1992. The US Department of Agriculture's rural development approach to alien plant control in Hawai'i: a case study. In: Stone CP, Smith CW, Tunison JT, eds. Alien Plant Invasions in Native Ecosystems of Hawai'i: Management and Research. Honolulu, Hawaii, USA: University of Hawai'i ",4,Medium ,"Gorse commonly establishes in depleted pastures, as well as disturbed and eroded areas. Holm et al. (1997) in array of habitats including riverbanks, grasslands and open forests, and as hedges or mixed with roadside scrub. Occurences are reported in other tropical areas including India, Azores, and Hawaii, for example. Although, the denisty of occurences is in temperate landscapes.  ","Holm L, Doll J, Holm E, Pancho J, Herberger J, 1997. World weeds: natural histories and distribution. Wiley-Blackwell, 1129 pp",4,High,"Populations present a serious fire risk, and be pathway leading to fire in forest habitats.  Leads to changes ot community composition, and  replace native pioneering species. Chemical change have also been reported incluing acidification and nitrification. ","CABI Crop Compendium online data sheet. Ulex europaeus. CABI Publishing 2020. www.cabi.org/CPC. Accessed April 2020.; Clements DR, Peterson DJ, Raj Prasad, 2001. The biology of Canadian weeds. 112. Ulex europaeus L. Canadian Journal of Plant Science, 81(2):325-337; 113 ref",48,Medium ,,,Canavan,4/20/20,Kendig,
Elodea nuttallii,"Anacharis nuttallii, A. occidentalis, Elodea columbiana, E. minor, E. occidentalis, Philotria angustifolia, P. minor, P. nuttallii, P. occidentalis, Udora verticillata","Western waterweed, Nuttall's waterweed",Plant,Primary producer,Temperate US,F,Transport contaminant (misidentification?),Could be confused with Egeria densa or Elodea canadensis (aquarium plants),2,Medium,"I have not found evidence that Elodea nuttallii is sold through the aquarium trade but it could be misidentified as other ""oxygenating"" aquarium species","internet search, personal observation",2,Medium,"Based on its current distribution it seems to do best in temperate regions; not present in GA, SC or FL; threatened (KY) or ""of special concern"" (TN) in some southern US states; unlikely that it would thrive except perhaps in extreme N FL; this species is invasive in other parts of the world but the majority of those areas have cooler climates and may lack competition from other submersed plants (hydrilla); invasive in Alaska",USDA; https://www.fws.gov/fisheries/ans/erss/highrisk/ERSS-Elodea-nuttallii-FINAL.pdf,2,Medium,"Unlikely to establish well enough to effectively compete with (and cause problems like those associated with) our extant submersed weeds (hydrilla);  probably less suited to our environment than our native submersed plants (Najas sp., Potamogeton sp., etc.)",,8,Low,"This species is native to temperate regions of the US and Canada; although most introduced aquatic species are thought to have the potential to be invasive in FL, this one seems very poorly climate-matched. I don't believe it would establish anywhere in the state except perhaps in extreme N FL, and even that seems unlikely given the species does not occur in GA or SC and is struggling (protected status) in TN and KY",,Gettys,4/21/20,Kendig,
Filipendula vulgaris,,Dropwort,Plant,Primary producer,Native to dry limestone grasslands of Europe and Asia(western Russia) also Northern Africa (according to Flora of North America) (http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286347),T,"Escape from confinement, Transport contaminant, transport stowaway, corridor, unaded","Is naturalized where it is cultivated so I imagine it can get around all of these ways.  Althoug, I am not sure the degree to which this species is a weed in ag, which contaminant and stowaway are affected by. ",3,Very Low,"I could find no good informaiton on how this species disperses.  I suspect that someone could try to plant the species in Florida, but from where it is said to grow, it seems like the species prefers more temperate climates. For this reason, it seems unlikely that it will be promoted in the agricultural trade. ",,2,Very Low,"Dave's garden claims it can survive in hardiness zones 4a to 9b. Lives in full sun to part shade. No evidence from Dave's website of species growing in SE US. Can grow in well drained short grasslandss, abandoned gardens and cemetaries (Flora North America). Seems to be grown more in more temperate climates.  Due to its attractiveness, I suspect that it would have been marketed in FL if it would grow well. ",https://davesgarden.com/guides/pf/go/153/; http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=220005285,2,Very Low,"GBIF states ""no"" evidence of impact throughout USA or Canada or Russia Federation.  GCW list some papers on the species but only describe the species as a weed (in the titles, as I am unable to access those documents).  If it were to establish, it might create some weed problems, but they would likely be minor. ",https://www.gbif.org/species/2988069; http://www.hear.org/gcw/species/filipendula_vulgaris/,12,Very Low,"I found very little about this species.  Not even in studies conducted within its native range.  It is mentioned in studies from Europe grasslands, but no real good species information.",,Iannone,4/13/20,Kendig,
