family,n,draw
Poaceae,3,161
Polemoniaceae,2,161
Primulaceae,1,161
Pteridaceae,1,161
Pterobryaceae,2,161
Putranjivaceae,1,161
Rosaceae,2,161
Rubiaceae,4,161
Salicaceae,1,161
Sapindaceae,2,161
Sematophyllaceae,1,161
Xanthorrhoeaceae,1,161
Amaranthaceae,2,162
Amaryllidaceae,1,162
Amblystegiaceae,1,162
Apiaceae,2,162
Apocynaceae,3,162
Araceae,1,162
Araliaceae,2,162
Asparagaceae,2,162
Athyriaceae,1,162
Brassicaceae,3,162
Bromeliaceae,2,162
Bryaceae,1,162
Compositae,13,162
Dicranaceae,3,162
Dioscoreaceae,1,162
Ditrichaceae,1,162
Dryopteridaceae,1,162
Ericaceae,1,162
Euphorbiaceae,4,162
Fissidentaceae,1,162
Geraniaceae,1,162
Gesneriaceae,1,162
Gleicheniaceae,1,162
Hypnaceae,1,162
Iridaceae,3,162
Leguminosae,8,162
Lythraceae,1,162
Malvaceae,1,162
Marantaceae,1,162
Melastomataceae,1,162
Myrtaceae,2,162
Oleaceae,1,162
Orchidaceae,11,162
Passifloraceae,1,162
Plantaginaceae,1,162
Poaceae,3,162
Polypodiaceae,1,162
Portulacaceae,1,162
Pottiaceae,1,162
Proteaceae,1,162
Rosaceae,1,162
Rubiaceae,4,162
Sapotaceae,1,162
Scrophulariaceae,1,162
Solanaceae,2,162
Xanthorrhoeaceae,1,162
Acanthaceae,2,163
Amaryllidaceae,2,163
Annonaceae,1,163
Araliaceae,1,163
Asparagaceae,1,163
Bignoniaceae,1,163
Boraginaceae,1,163
Brassicaceae,2,163
Cactaceae,1,163
Campanulaceae,2,163
Celastraceae,2,163
Commelinaceae,1,163
Compositae,16,163
Cucurbitaceae,1,163
Cyperaceae,3,163
Dicranaceae,1,163
Dryopteridaceae,1,163
Ephedraceae,1,163
Ericaceae,1,163
Eriocaulaceae,1,163
Euphorbiaceae,5,163
Gesneriaceae,1,163
Hypoxidaceae,1,163
Jungermanniaceae,1,163
Lamiaceae,3,163
Lauraceae,1,163
Leguminosae,7,163
Lejeuneaceae,1,163
Lembophyllaceae,1,163
Leucodontaceae,1,163
Malpighiaceae,1,163
Malvaceae,2,163
Melastomataceae,1,163
Mniaceae,1,163
Myrtaceae,1,163
Nyctaginaceae,1,163
Orchidaceae,6,163
Orthotrichaceae,1,163
Phyllanthaceae,1,163
Plantaginaceae,1,163
Poaceae,3,163
Polygalaceae,1,163
Polygonaceae,1,163
Polypodiaceae,1,163
Pterobryaceae,1,163
Restionaceae,1,163
Rhamnaceae,1,163
Rosaceae,1,163
Rubiaceae,3,163
Rutaceae,1,163
Sapindaceae,1,163
Selaginellaceae,1,163
Thelypteridaceae,1,163
Vitaceae,1,163
Acanthaceae,3,164
Aizoaceae,1,164
Andreaeaceae,1,164
Apiaceae,1,164
Apocynaceae,2,164
Araceae,1,164
Araliaceae,1,164
Arecaceae,2,164
Aristolochiaceae,2,164
Begoniaceae,1,164
Berberidaceae,4,164
Betulaceae,1,164
Boraginaceae,1,164
Brassicaceae,3,164
Bromeliaceae,2,164
Bryaceae,1,164
Calymperaceae,1,164
Calypogeiaceae,1,164
Caprifoliaceae,1,164
Caryophyllaceae,1,164
Catagoniaceae,1,164
Compositae,6,164
Convolvulaceae,3,164
Coriariaceae,1,164
Dicranaceae,1,164
Dryopteridaceae,1,164
Equisetaceae,1,164
Eriocaulaceae,2,164
Euphorbiaceae,1,164
Gesneriaceae,1,164
Herbertaceae,1,164
Hydrangeaceae,1,164
Hymenophyllaceae,1,164
Hypnaceae,1,164
Jungermanniaceae,1,164
Lamiaceae,2,164
Lauraceae,2,164
Leguminosae,8,164
Leskeaceae,1,164
Musaceae,1,164
Myrtaceae,1,164
Nyctaginaceae,1,164
Ochnaceae,1,164
Oleaceae,1,164
Orchidaceae,7,164
Orthotrichaceae,1,164
Passifloraceae,1,164
Phyllanthaceae,1,164
Poaceae,3,164
Polypodiaceae,1,164
Porellaceae,1,164
Pteridaceae,1,164
Rhamnaceae,1,164
Rubiaceae,1,164
Rutaceae,2,164
Santalaceae,1,164
Sapindaceae,2,164
Selaginellaceae,1,164
Violaceae,1,164
Vitaceae,1,164
Acanthaceae,1,165
Aizoaceae,2,165
Annonaceae,1,165
Apiaceae,2,165
Apocynaceae,2,165
Araceae,1,165
Araliaceae,2,165
Arecaceae,1,165
Begoniaceae,2,165
Boraginaceae,2,165
Brachytheciaceae,1,165
Cactaceae,2,165
Calymperaceae,1,165
Campanulaceae,1,165
Caryophyllaceae,1,165
Celastraceae,2,165
Compositae,10,165
Cucurbitaceae,1,165
Cupressaceae,1,165
Cyatheaceae,1,165
Cyperaceae,1,165
Dendrocerotaceae,1,165
Dicranaceae,1,165
Ericaceae,1,165
Euphorbiaceae,2,165
Fagaceae,1,165
Funariaceae,1,165
Gesneriaceae,2,165
Grimmiaceae,1,165
Iridaceae,1,165
Lamiaceae,2,165
Lauraceae,1,165
Leguminosae,5,165
Loranthaceae,2,165
Malvaceae,2,165
Marantaceae,1,165
Melastomataceae,1,165
Meteoriaceae,1,165
Myristicaceae,1,165
Myrtaceae,3,165
Ochnaceae,1,165
Orchidaceae,9,165
Orobanchaceae,2,165
Pandanaceae,1,165
Plantaginaceae,1,165
Poaceae,3,165
Polygonaceae,1,165
Polypodiaceae,1,165
Radulaceae,1,165
Ranunculaceae,1,165
Restionaceae,1,165
Rosaceae,1,165
Rubiaceae,2,165
Salicaceae,1,165
Sapotaceae,2,165
Thymelaeaceae,1,165
Zingiberaceae,1,165
Aizoaceae,1,166
Apocynaceae,2,166
Araceae,1,166
Araliaceae,1,166
Asparagaceae,1,166
Athyriaceae,1,166
Begoniaceae,1,166
Brachytheciaceae,1,166
Bromeliaceae,1,166
Cactaceae,2,166
Campanulaceae,1,166
Cistaceae,1,166
Colchicaceae,1,166
Compositae,11,166
Crassulaceae,1,166
Cucurbitaceae,2,166
Cyperaceae,3,166
Dioscoreaceae,1,166
Ericaceae,2,166
Euphorbiaceae,4,166
Fagaceae,1,166
Gesneriaceae,2,166
Goodeniaceae,1,166
Gymnomitriaceae,1,166
Hypnaceae,3,166
Icacinaceae,1,166
Lamiaceae,2,166
Leguminosae,8,166
Lejeuneaceae,1,166
Malvaceae,2,166
Melastomataceae,1,166
Montiaceae,1,166
Neckeraceae,1,166
Nyctaginaceae,1,166
Oleaceae,1,166
Onagraceae,1,166
Orchidaceae,8,166
Oxalidaceae,1,166
Piperaceae,1,166
Poaceae,3,166
Polygalaceae,1,166
Polypodiaceae,1,166
Proteaceae,1,166
Ranunculaceae,1,166
Rosaceae,3,166
Rubiaceae,4,166
Rutaceae,1,166
Solanaceae,1,166
Sphagnaceae,1,166
Talinaceae,1,166
Thelypteridaceae,1,166
Verbenaceae,1,166
Zamiaceae,1,166
Acanthaceae,2,167
Apiaceae,1,167
Asparagaceae,1,167
Athyriaceae,1,167
Brassicaceae,1,167
Bromeliaceae,2,167
Bruchiaceae,1,167
Bryaceae,1,167
Cactaceae,1,167
Campanulaceae,1,167
Caprifoliaceae,1,167
Caryophyllaceae,1,167
Compositae,11,167
Convolvulaceae,1,167
Cyperaceae,4,167
Dryopteridaceae,1,167
Entodontaceae,1,167
Ericaceae,2,167
Euphorbiaceae,2,167
Gentianaceae,1,167
Grimmiaceae,1,167
Hypericaceae,1,167
Hypnaceae,1,167
Lamiaceae,2,167
Lauraceae,1,167
Leguminosae,6,167
Lejeuneaceae,1,167
Loranthaceae,1,167
Malpighiaceae,1,167
Malvaceae,1,167
Melastomataceae,1,167
Meliaceae,1,167
Myrtaceae,3,167
Orchidaceae,6,167
Orobanchaceae,1,167
Peraceae,1,167
Phyllanthaceae,1,167
Piperaceae,1,167
Plantaginaceae,1,167
Poaceae,2,167
Potamogetonaceae,1,167
Pottiaceae,2,167
Ranunculaceae,1,167
Restionaceae,1,167
Rosaceae,2,167
Rubiaceae,6,167
Rutaceae,1,167
Sapindaceae,1,167
Sapotaceae,1,167
Saxifragaceae,2,167
Sematophyllaceae,1,167
Solanaceae,2,167
Tectariaceae,1,167
Urticaceae,2,167
Verbenaceae,1,167
Vochysiaceae,1,167
Woodsiaceae,1,167
Acanthaceae,1,168
Aizoaceae,2,168
Amaryllidaceae,1,168
Annonaceae,1,168
Apocynaceae,2,168
Aquifoliaceae,1,168
Araceae,1,168
Arecaceae,1,168
Aristolochiaceae,1,168
Bignoniaceae,1,168
Boraginaceae,1,168
Brassicaceae,2,168
Bromeliaceae,1,168
Brunelliaceae,1,168
Caprifoliaceae,1,168
Caryophyllaceae,1,168
Combretaceae,1,168
Compositae,5,168
Convolvulaceae,1,168
Costaceae,1,168
Crassulaceae,1,168
Cupressaceae,1,168
Dioscoreaceae,1,168
Elaeagnaceae,1,168
Ericaceae,1,168
Euphorbiaceae,4,168
Gesneriaceae,2,168
Grossulariaceae,1,168
Lamiaceae,6,168
Lauraceae,1,168
Leguminosae,7,168
Lejeuneaceae,1,168
Malpighiaceae,1,168
Melastomataceae,1,168
Meteoriaceae,1,168
Moraceae,1,168
Myrtaceae,2,168
Oleaceae,1,168
Orchidaceae,9,168
Orobanchaceae,1,168
Papaveraceae,1,168
Passifloraceae,1,168
Piperaceae,2,168
Poaceae,3,168
Portulacaceae,1,168
Pteridaceae,1,168
Ranunculaceae,1,168
Rubiaceae,4,168
Rutaceae,1,168
Sapindaceae,2,168
Sapotaceae,1,168
Saxifragaceae,1,168
Sematophyllaceae,2,168
Smilacaceae,1,168
Symplocaceae,1,168
Thymelaeaceae,1,168
Verbenaceae,2,168
Xanthorrhoeaceae,1,168
Amaranthaceae,1,169
Anacardiaceae,1,169
Apiaceae,2,169
Apocynaceae,1,169
Araceae,1,169
Aristolochiaceae,1,169
Asparagaceae,2,169
Atherospermataceae,1,169
Boraginaceae,1,169
Brassicaceae,2,169
Bromeliaceae,1,169
Compositae,10,169
Cyperaceae,2,169
Ebenaceae,1,169
Euphorbiaceae,4,169
Gesneriaceae,2,169
Grimmiaceae,1,169
Grossulariaceae,3,169
Hypnaceae,1,169
Lecythidaceae,1,169
Leguminosae,6,169
Lejeuneaceae,1,169
Loranthaceae,1,169
Malvaceae,2,169
Marattiaceae,1,169
Melastomataceae,1,169
Myrtaceae,3,169
Oleaceae,2,169
Onagraceae,1,169
Ophioglossaceae,1,169
Orchidaceae,16,169
Phyllanthaceae,1,169
Piperaceae,1,169
Plantaginaceae,1,169
Poaceae,4,169
Polypodiaceae,1,169
Proteaceae,1,169
Ranunculaceae,1,169
Rubiaceae,4,169
Rutaceae,1,169
Sabiaceae,1,169
Sapindaceae,1,169
Scrophulariaceae,1,169
Solanaceae,1,169
Sphagnaceae,1,169
Tectariaceae,1,169
Thymelaeaceae,2,169
Violaceae,1,169
Acanthaceae,4,170
Aizoaceae,1,170
Apiaceae,1,170
Araliaceae,1,170
Aristolochiaceae,1,170
Asparagaceae,1,170
Berberidaceae,2,170
Boraginaceae,3,170
Brachytheciaceae,1,170
Bromeliaceae,1,170
Burseraceae,1,170
Campanulaceae,1,170
Caryophyllaceae,2,170
Compositae,8,170
Convolvulaceae,2,170
Corsiaceae,1,170
Cyperaceae,1,170
Dicranaceae,1,170
Entodontaceae,1,170
Ericaceae,1,170
Euphorbiaceae,3,170
Gentianaceae,1,170
Geraniaceae,1,170
Iridaceae,1,170
Lamiaceae,2,170
Lauraceae,1,170
Leguminosae,5,170
Leptodontaceae,1,170
Lycopodiaceae,1,170
Melastomataceae,1,170
Ochnaceae,1,170
Orchidaceae,6,170
Orobanchaceae,2,170
Orthotrichaceae,2,170
Pandanaceae,1,170
Papaveraceae,1,170
Phyllanthaceae,1,170
Poaceae,2,170
Polemoniaceae,2,170
Polygonaceae,2,170
Primulaceae,2,170
Prionodontaceae,1,170
Pterobryaceae,1,170
Rapateaceae,1,170
Restionaceae,1,170
Rhamnaceae,1,170
Rosaceae,2,170
Rubiaceae,4,170
Sapindaceae,1,170
Scrophulariaceae,2,170
Sematophyllaceae,1,170
Solanaceae,2,170
Thuidiaceae,1,170
Torricelliaceae,1,170
Violaceae,1,170
Vitaceae,1,170
Xanthorrhoeaceae,1,170
Zingiberaceae,2,170
Acanthaceae,1,171
Aizoaceae,2,171
Amaryllidaceae,1,171
Apiaceae,1,171
Apocynaceae,2,171
Araliaceae,1,171
Asparagaceae,1,171
Bignoniaceae,1,171
Brachytheciaceae,1,171
Brassicaceae,2,171
Bromeliaceae,1,171
Bruchiaceae,1,171
Cactaceae,1,171
Campanulaceae,1,171
Caryophyllaceae,1,171
Celastraceae,1,171
Compositae,6,171
Costaceae,1,171
Cucurbitaceae,2,171
Daltoniaceae,1,171
Dicranaceae,2,171
Ebenaceae,1,171
Ericaceae,1,171
Eriocaulaceae,1,171
Geraniaceae,1,171
Gesneriaceae,1,171
Grimmiaceae,1,171
Hypnaceae,1,171
Iridaceae,1,171
Lamiaceae,3,171
Leguminosae,5,171
Lejeuneaceae,2,171
Leucodontaceae,1,171
Lythraceae,1,171
Malpighiaceae,1,171
Malvaceae,2,171
Melastomataceae,1,171
Mniaceae,1,171
Moraceae,1,171
Myrtaceae,1,171
Orchidaceae,8,171
Orobanchaceae,1,171
Orthotrichaceae,1,171
Oxalidaceae,1,171
Pallaviciniaceae,1,171
Pandanaceae,1,171
Pilotrichaceae,1,171
Plantaginaceae,1,171
Poaceae,1,171
Polypodiaceae,4,171
Pottiaceae,1,171
Putranjivaceae,1,171
Ranunculaceae,1,171
Rosaceae,2,171
Rubiaceae,5,171
Rutaceae,1,171
Sapindaceae,1,171
Sapotaceae,3,171
Saxifragaceae,1,171
Tectariaceae,1,171
Urticaceae,1,171
Xanthorrhoeaceae,1,171
Zygophyllaceae,1,171
Acanthaceae,1,172
Aizoaceae,2,172
Annonaceae,1,172
Apiaceae,6,172
Apocynaceae,2,172
Araceae,1,172
Arecaceae,3,172
Asparagaceae,2,172
Begoniaceae,1,172
Betulaceae,1,172
Brassicaceae,1,172
Bromeliaceae,1,172
Bryaceae,1,172
Cactaceae,2,172
Cleveaceae,1,172
Commelinaceae,2,172
Compositae,9,172
Cucurbitaceae,1,172
Cyperaceae,2,172
Dioscoreaceae,2,172
Dryopteridaceae,1,172
Ericaceae,6,172
Euphorbiaceae,3,172
Gentianaceae,1,172
Geocalycaceae,1,172
Grimmiaceae,1,172
Hookeriaceae,1,172
Hypnaceae,1,172
Lamiaceae,2,172
Lauraceae,1,172
Leguminosae,5,172
Malvaceae,1,172
Melastomataceae,1,172
Moraceae,1,172
Myristicaceae,1,172
Myrtaceae,2,172
Neckeraceae,1,172
Orchidaceae,3,172
Orobanchaceae,2,172
Orthotrichaceae,1,172
Pinaceae,1,172
Piperaceae,3,172
Plagiotheciaceae,1,172
Poaceae,3,172
Pteridaceae,1,172
Ricciaceae,1,172
Rosaceae,1,172
Rubiaceae,2,172
Saxifragaceae,1,172
Scrophulariaceae,2,172
Theaceae,1,172
Thymelaeaceae,1,172
Xanthorrhoeaceae,1,172
Zygophyllaceae,1,172
Acanthaceae,2,173
Aizoaceae,2,173
Alismataceae,1,173
Amaryllidaceae,1,173
Apocynaceae,3,173
Araceae,1,173
Araliaceae,1,173
Asparagaceae,2,173
Bromeliaceae,2,173
Bruchiaceae,1,173
Cactaceae,3,173
Calymperaceae,1,173
Colchicaceae,1,173
Compositae,10,173
Convolvulaceae,1,173
Costaceae,1,173
Cucurbitaceae,1,173
Cycadaceae,1,173
Dicranaceae,1,173
Ephemeraceae,1,173
Euphorbiaceae,3,173
Gentianaceae,1,173
Geraniaceae,1,173
Haemodoraceae,1,173
Hypnaceae,1,173
Hypoxidaceae,1,173
Iridaceae,2,173
Ixioliriaceae,1,173
Lamiaceae,5,173
Lauraceae,1,173
Leguminosae,7,173
Lejeuneaceae,1,173
Lembophyllaceae,1,173
Lepidoziaceae,1,173
Limeaceae,1,173
Malvaceae,1,173
Melastomataceae,3,173
Menispermaceae,1,173
Onagraceae,1,173
Orchidaceae,5,173
Paeoniaceae,1,173
Papaveraceae,1,173
Pilotrichaceae,1,173
Poaceae,2,173
Polygalaceae,2,173
Polypodiaceae,1,173
Polytrichaceae,1,173
Potamogetonaceae,1,173
Primulaceae,1,173
Pteridaceae,2,173
Pterigynandraceae,1,173
Pterobryaceae,1,173
Radulaceae,1,173
Salicaceae,1,173
Santalaceae,1,173
Sapindaceae,1,173
Scrophulariaceae,1,173
Solanaceae,1,173
Timmiaceae,1,173
Acanthaceae,1,174
Anacardiaceae,1,174
Apocynaceae,1,174
Araceae,1,174
Aristolochiaceae,1,174
Atherospermataceae,1,174
Bartramiaceae,1,174
Begoniaceae,1,174
Betulaceae,1,174
Bromeliaceae,2,174
Burseraceae,1,174
Campanulaceae,1,174
Compositae,10,174
Crassulaceae,1,174
Cyclanthaceae,1,174
Dioscoreaceae,1,174
Ditrichaceae,2,174
Dryopteridaceae,1,174
Ericaceae,1,174
Eriocaulaceae,1,174
Euphorbiaceae,1,174
Eustichiaceae,1,174
Gesneriaceae,3,174
Hookeriaceae,1,174
Lamiaceae,3,174
Lecythidaceae,1,174
Leguminosae,6,174
Liliaceae,2,174
Loasaceae,1,174
Loranthaceae,1,174
Lythraceae,1,174
Magnoliaceae,1,174
Marantaceae,1,174
Myristicaceae,1,174
Myrtaceae,1,174
Myuriaceae,1,174
Neckeraceae,1,174
Orchidaceae,8,174
Orobanchaceae,1,174
Passifloraceae,2,174
Phyllanthaceae,2,174
Plagiochilaceae,1,174
Poaceae,1,174
Polygalaceae,1,174
Pteridaceae,1,174
Restionaceae,1,174
Rhamnaceae,1,174
Rosaceae,1,174
Rubiaceae,10,174
Salicaceae,1,174
Sapotaceae,1,174
Smilacaceae,1,174
Splachnaceae,1,174
Thuidiaceae,1,174
Urticaceae,2,174
Vitaceae,1,174
Xanthorrhoeaceae,1,174
Zingiberaceae,1,174
Amaranthaceae,2,175
Amaryllidaceae,1,175
Apocynaceae,2,175
Araceae,1,175
Begoniaceae,1,175
Betulaceae,1,175
Boraginaceae,1,175
Brassicaceae,4,175
Bryaceae,1,175
Cactaceae,1,175
Calymperaceae,1,175
Campanulaceae,1,175
Caprifoliaceae,1,175
Caryophyllaceae,2,175
Celastraceae,1,175
Compositae,8,175
Convolvulaceae,1,175
Cucurbitaceae,1,175
Cyperaceae,2,175
Dipentodontaceae,1,175
Dryopteridaceae,1,175
Ericaceae,1,175
Euphorbiaceae,3,175
Gesneriaceae,1,175
Gymnomitriaceae,1,175
Hookeriaceae,1,175
Iridaceae,1,175
Lamiaceae,2,175
Lauraceae,3,175
Lecythidaceae,1,175
Leguminosae,7,175
Lepidoziaceae,1,175
Malvaceae,2,175
Myrtaceae,1,175
Nyctaginaceae,1,175
Ochnaceae,1,175
Oleaceae,1,175
Orchidaceae,5,175
Papaveraceae,4,175
Picramniaceae,1,175
Piperaceae,1,175
Plantaginaceae,1,175
Poaceae,5,175
Pottiaceae,1,175
Pteridaceae,1,175
Rosaceae,2,175
Rubiaceae,6,175
Salicaceae,1,175
Sapindaceae,2,175
Solanaceae,2,175
Thuidiaceae,1,175
Vitaceae,1,175
Xanthorrhoeaceae,1,175
Acanthaceae,1,176
Amaranthaceae,1,176
Amaryllidaceae,1,176
Annonaceae,1,176
Apiaceae,3,176
Aquifoliaceae,1,176
Asparagaceae,2,176
Begoniaceae,1,176
Bromeliaceae,1,176
Burseraceae,1,176
Cactaceae,1,176
Calyceraceae,1,176
Caryophyllaceae,1,176
Cephaloziellaceae,1,176
Combretaceae,1,176
Compositae,8,176
Convolvulaceae,1,176
Cryphaeaceae,1,176
Cyatheaceae,1,176
Cyperaceae,2,176
Dichapetalaceae,1,176
Dilleniaceae,1,176
Ericaceae,3,176
Euphorbiaceae,1,176
Funariaceae,1,176
Gesneriaceae,1,176
Lamiaceae,3,176
Leguminosae,2,176
Lejeuneaceae,2,176
Loranthaceae,1,176
Lycopodiaceae,1,176
Lythraceae,1,176
Malpighiaceae,1,176
Malvaceae,3,176
Marantaceae,1,176
Melastomataceae,1,176
Moraceae,1,176
Myrtaceae,1,176
Onagraceae,1,176
Orchidaceae,10,176
Orthotrichaceae,2,176
Oxalidaceae,1,176
Plantaginaceae,1,176
Plumbaginaceae,1,176
Poaceae,4,176
Polemoniaceae,1,176
Polygonaceae,2,176
Polypodiaceae,1,176
Rosaceae,3,176
Rubiaceae,4,176
Saxifragaceae,1,176
Scrophulariaceae,1,176
Sematophyllaceae,1,176
Tectariaceae,1,176
Urticaceae,1,176
Woodsiaceae,1,176
Xanthorrhoeaceae,3,176
Xyridaceae,1,176
Anastrophyllaceae,1,177
Apocynaceae,1,177
Araceae,3,177
Araliaceae,1,177
Arecaceae,1,177
Asparagaceae,1,177
Athyriaceae,1,177
Betulaceae,1,177
Bignoniaceae,1,177
Brachytheciaceae,1,177
Brassicaceae,1,177
Calceolariaceae,1,177
Campanulaceae,1,177
Caryophyllaceae,1,177
Compositae,10,177
Cryphaeaceae,1,177
Cycadaceae,1,177
Cyperaceae,1,177
Dilleniaceae,1,177
Ericaceae,4,177
Euphorbiaceae,2,177
Gentianaceae,3,177
Gesneriaceae,1,177
Grossulariaceae,1,177
Iridaceae,3,177
Lamiaceae,2,177
Leguminosae,7,177
Loasaceae,1,177
Marantaceae,2,177
Melastomataceae,3,177
Meliaceae,1,177
Myrtaceae,2,177
Orchidaceae,8,177
Orthotrichaceae,1,177
Plumbaginaceae,1,177
Poaceae,2,177
Polygonaceae,2,177
Potamogetonaceae,1,177
Primulaceae,2,177
Pterobryaceae,1,177
Radulaceae,1,177
Rhamnaceae,1,177
Rosaceae,2,177
Rubiaceae,4,177
Solanaceae,3,177
Stemonaceae,1,177
Thymelaeaceae,2,177
Verbenaceae,1,177
Vitaceae,1,177
Zamiaceae,1,177
Zingiberaceae,1,177
Acanthaceae,1,178
Aizoaceae,1,178
Amaranthaceae,1,178
Apocynaceae,2,178
Araliaceae,1,178
Arecaceae,1,178
Asparagaceae,3,178
Balanophoraceae,1,178
Begoniaceae,1,178
Boraginaceae,2,178
Brachytheciaceae,1,178
Brassicaceae,1,178
Bromeliaceae,1,178
Burmanniaceae,1,178
Cactaceae,1,178
Caryophyllaceae,1,178
Celastraceae,1,178
Compositae,9,178
Dicranaceae,1,178
Dryopteridaceae,1,178
Elaeocarpaceae,1,178
Ericaceae,2,178
Euphorbiaceae,4,178
Goodeniaceae,1,178
Hypericaceae,1,178
Hypnaceae,2,178
Iridaceae,2,178
Juncaceae,1,178
Lauraceae,3,178
Leguminosae,7,178
Lepidoziaceae,1,178
Loasaceae,1,178
Lythraceae,1,178
Malvaceae,2,178
Myrtaceae,1,178
Nyctaginaceae,1,178
Ochnaceae,2,178
Oleaceae,1,178
Orchidaceae,7,178
Phrymaceae,1,178
Phyllanthaceae,1,178
Pilotrichaceae,1,178
Piperaceae,1,178
Plantaginaceae,2,178
Poaceae,3,178
Polygonaceae,1,178
Porellaceae,1,178
Ranunculaceae,1,178
Rosaceae,1,178
Rubiaceae,6,178
Sapindaceae,1,178
Scrophulariaceae,1,178
Selaginellaceae,1,178
Solanaceae,1,178
Violaceae,1,178
Zygophyllaceae,1,178
Acanthaceae,3,179
Aizoaceae,1,179
Amaranthaceae,1,179
Anacardiaceae,1,179
Apiaceae,1,179
Aquifoliaceae,1,179
Araceae,2,179
Athyriaceae,1,179
Boraginaceae,4,179
Brachytheciaceae,1,179
Bromeliaceae,2,179
Campanulaceae,1,179
Caprifoliaceae,1,179
Caryophyllaceae,2,179
Cistaceae,2,179
Compositae,11,179
Convolvulaceae,1,179
Crassulaceae,1,179
Cyperaceae,1,179
Dipterocarpaceae,1,179
Ericaceae,1,179
Erythroxylaceae,1,179
Euphorbiaceae,1,179
Fagaceae,1,179
Hypericaceae,2,179
Hypnaceae,1,179
Iridaceae,1,179
Lamiaceae,2,179
Leguminosae,3,179
Malvaceae,1,179
Marantaceae,1,179
Melanthiaceae,1,179
Melastomataceae,2,179
Myrtaceae,3,179
Orchidaceae,11,179
Orobanchaceae,1,179
Piperaceae,1,179
Poaceae,3,179
Polygonaceae,1,179
Polypodiaceae,1,179
Potamogetonaceae,1,179
Pottiaceae,1,179
Primulaceae,2,179
Ptychomitriaceae,1,179
Rubiaceae,9,179
Sematophyllaceae,1,179
Solanaceae,2,179
Thymelaeaceae,1,179
Vochysiaceae,1,179
Xanthorrhoeaceae,1,179
Acanthaceae,2,180
Amaryllidaceae,2,180
Annonaceae,1,180
Apiaceae,3,180
Apocynaceae,4,180
Araceae,1,180
Arecaceae,1,180
Asparagaceae,1,180
Begoniaceae,1,180
Boraginaceae,3,180
Brassicaceae,1,180
Bromeliaceae,1,180
Bryaceae,1,180
Cactaceae,3,180
Calceolariaceae,1,180
Campanulaceae,1,180
Celastraceae,1,180
Clusiaceae,1,180
Compositae,16,180
Crassulaceae,1,180
Cucurbitaceae,1,180
Cyperaceae,1,180
Dicranaceae,2,180
Dryopteridaceae,1,180
Ericaceae,1,180
Eriocaulaceae,3,180
Euphorbiaceae,2,180
Fontinalaceae,1,180
Funariaceae,1,180
Hylocomiaceae,1,180
Hypnaceae,2,180
Jubulaceae,1,180
Lacistemataceae,1,180
Lamiaceae,1,180
Leguminosae,5,180
Malvaceae,3,180
Myrtaceae,1,180
Orchidaceae,2,180
Orthotrichaceae,1,180
Pandanaceae,1,180
Pedaliaceae,1,180
Phyllanthaceae,2,180
Plagiochilaceae,1,180
Poaceae,2,180
Polypodiaceae,1,180
Pottiaceae,1,180
Primulaceae,1,180
Proteaceae,1,180
Rosaceae,3,180
Rubiaceae,4,180
Sematophyllaceae,1,180
Solanaceae,1,180
Thuidiaceae,1,180
Acanthaceae,2,181
Aizoaceae,2,181
Alstroemeriaceae,1,181
Amaranthaceae,2,181
Amblystegiaceae,1,181
Apiaceae,1,181
Apocynaceae,1,181
Araceae,1,181
Arecaceae,1,181
Asparagaceae,1,181
Bartramiaceae,1,181
Boraginaceae,1,181
Bromeliaceae,1,181
Burseraceae,1,181
Cactaceae,1,181
Caprifoliaceae,1,181
Caryophyllaceae,1,181
Celastraceae,1,181
Compositae,11,181
Crassulaceae,1,181
Cyperaceae,1,181
Dicranaceae,3,181
Dioscoreaceae,1,181
Ditrichaceae,1,181
Ebenaceae,1,181
Ericaceae,1,181
Euphorbiaceae,6,181
Fontinalaceae,1,181
Geraniaceae,1,181
Grossulariaceae,1,181
Hookeriaceae,1,181
Hylocomiaceae,1,181
Hypericaceae,1,181
Iridaceae,1,181
Lamiaceae,2,181
Leguminosae,2,181
Lejeuneaceae,1,181
Liliaceae,1,181
Loranthaceae,1,181
Malpighiaceae,1,181
Malvaceae,2,181
Melastomataceae,1,181
Myrtaceae,3,181
Myuriaceae,1,181
Neckeraceae,1,181
Orchidaceae,9,181
Piperaceae,1,181
Poaceae,2,181
Pottiaceae,2,181
Pteridaceae,1,181
Pterobryaceae,1,181
Rosaceae,3,181
Rubiaceae,2,181
Rutaceae,2,181
Sapotaceae,1,181
Saxifragaceae,1,181
Solanaceae,1,181
Violaceae,1,181
Xanthorrhoeaceae,1,181
Apiaceae,2,182
Apocynaceae,2,182
Araceae,1,182
Araliaceae,1,182
Asparagaceae,3,182
Begoniaceae,1,182
Boraginaceae,2,182
Brachytheciaceae,2,182
Brassicaceae,2,182
Bromeliaceae,1,182
Bryaceae,1,182
Campanulaceae,3,182
Caprifoliaceae,1,182
Clusiaceae,1,182
Colchicaceae,1,182
Commelinaceae,1,182
Compositae,8,182
Convolvulaceae,1,182
Cupressaceae,1,182
Cyatheaceae,1,182
Cyperaceae,2,182
Dichapetalaceae,1,182
Dioscoreaceae,1,182
Ditrichaceae,1,182
Euphorbiaceae,2,182
Fagaceae,1,182
Geraniaceae,1,182
Lamiaceae,3,182
Lauraceae,3,182
Leguminosae,7,182
Lejeuneaceae,2,182
